,d40_baseline,d40_vol_scaled,d40_resid_250d,d40_deep_only,d40_bounce_conf,d40_low_vol_surrender,p_top1_conviction,p_top3_diversified
2023-02-28,0.0011068864172996498,0.0011068864172996498,0.0011068864172996498,0.005761092076008574,0.005761092076008574,-0.0003828714970392686,-0.009401709401709257,0.0014950627752611987
2023-03-01,0.005134287452064715,0.005134287452064715,0.005134287452064715,0.008142906842078707,0.008142906842078707,-0.0005731888489419372,0.0030198446937013124,0.004680935922353857
2023-03-02,-0.00891708771498223,-0.00891708771498223,-0.00891708771498223,-0.016291839170309776,-0.016291839170309776,-0.008406346752448076,0.001290322580645098,-0.00018786936418424582
2023-03-03,0.0020287117855016428,0.0020287117855016428,0.0020287117855016428,0.0028142173519999734,0.0028142173519999734,0.0019361770049114804,0.0008591065292096189,0.0035004909096509143
2023-03-06,-0.010548868127200017,-0.010548868127200017,-0.010548868127200017,0.0003213604610732279,0.0003213604610732279,-0.0013734392183195982,-0.022317596566523656,-0.01679266686802879
2023-03-07,-0.011113476123117453,-0.011113476123117453,-0.011113476123117453,-0.018851491021077894,-0.018851491021077894,-0.009448316527381576,0.0030728709394205467,-0.009373407146657945
2023-03-08,-0.003143543780259531,-0.003143543780259531,-0.003143543780259531,-0.0029314515886718446,-0.0029314515886718446,-0.004091091337671382,-0.005689277899343814,-1.551119620724073e-05
2023-03-09,-0.001846026299049952,-0.001846026299049952,-0.001846026299049952,-0.00029263704023130277,-0.00029263704023130277,-0.003910813960664283,-0.005281690140845008,-0.001524006539334969
2023-03-10,-0.01771329210414015,-0.01771329210414015,-0.01804662543747348,-0.015158771456313277,-0.01449210478964661,-0.017073543473565857,-0.02135398230088481,-0.021146123495512925
2023-03-13,-0.011862575580591709,-0.00677582770314622,-0.005089472858711382,-0.014821268743225792,-0.0038379218838670384,-0.014821268743225792,-0.012403100775193798,-0.012055929030698482
2023-03-14,-0.004629488133138829,-0.00611536263488636,-0.0059771009868075185,-0.0047005424008358014,-0.0027624516269847037,-0.0047005424008358014,-0.0031397174254317317,-0.0018790457808895988
