round,label,rsrs_N,rsrs_M,mom_L,lambda_s,lambda_k,w_rsrs,top_k,theta_off,theta_on,rebal_threshold,rsrs_form,trend_ma_window,exclude_buckets,reversal_L,reversal_w,ann_ret,ann_vol,sharpe_net,sharpe_gross,max_dd,calmar,sortino,win_rate,ann_turnover,n_days,multi_horizon_mom,multi_horizon_w,multi_rsrs,multi_rsrs_w,vol_target,vol_lb,skip_mom,bucket_relative
12,br=False k=5 wr=0.2 L=180,30,250,180,0.2,0.0,0.2,5,-0.7,0.7,0.4,rsrs_skew,200,[],5,0.1,0.08815438089322458,0.13419292565690086,0.6569227137845866,1.1320496074274382,-0.2721602671262564,0.32390613745366936,0.8245670221857947,0.5067365269461078,53.02342814371258,2672,,,,,,,,False
12,br=False k=5 wr=0.2 L=252,30,250,252,0.2,0.0,0.2,5,-0.7,0.7,0.4,rsrs_skew,200,[],5,0.1,0.0566490989450783,0.12685414779922888,0.4465687557551245,0.947357007130444,-0.29358349071429657,0.19295737238919503,0.5491417986637017,0.500374251497006,54.45696107784431,2672,,,,,,,,False
12,br=False k=5 wr=0.3 L=120,30,250,120,0.2,0.0,0.3,5,-0.7,0.7,0.4,rsrs_skew,200,[],5,0.1,0.08544926709381451,0.13686395288097356,0.6243372728546511,1.105470101419416,-0.29298880282105344,0.2916468693378829,0.8083341820651645,0.5033682634730539,54.768188622754494,2672,,,,,,,,False
12,br=False k=5 wr=0.3 L=180,30,250,180,0.2,0.0,0.3,5,-0.7,0.7,0.4,rsrs_skew,200,[],5,0.1,0.08205158727441209,0.1357163430686531,0.6045814779499746,1.0920777242997357,-0.2892111769844511,0.28370821670845536,0.7680743417150303,0.5063622754491018,54.94738023952096,2672,,,,,,,,False
12,br=False k=5 wr=0.3 L=252,30,250,252,0.2,0.0,0.3,5,-0.7,0.7,0.4,rsrs_skew,200,[],5,0.1,0.0664696623099561,0.12814235310879155,0.51871735376612,1.036053493316799,-0.2697849368851546,0.24638018370259024,0.6355093096430505,0.5037425149700598,55.984805389221556,2672,,,,,,,,False
12,br=False k=5 wr=0.4 L=120,30,250,120,0.2,0.0,0.4,5,-0.7,0.7,0.4,rsrs_skew,200,[],5,0.1,0.09962138477058113,0.1386999357799901,0.7182511239846823,1.213693352246344,-0.24449553836599092,0.4074568617340396,0.9306445354581317,0.5071107784431138,56.10741017964073,2672,,,,,,,,False
12,br=False k=5 wr=0.4 L=180,30,250,180,0.2,0.0,0.4,5,-0.7,0.7,0.4,rsrs_skew,200,[],5,0.1,0.08210261668516017,0.13407938790426263,0.6123433136775975,1.113192723645147,-0.26399880345560356,0.3109961697192589,0.7992865969640482,0.5044910179640718,55.626422155688616,2672,,,,,,,,False
12,br=False k=5 wr=0.4 L=252,30,250,252,0.2,0.0,0.4,5,-0.7,0.7,0.4,rsrs_skew,200,[],5,0.1,0.06555392256460246,0.1282604321816517,0.5111001222244461,1.0386613824725492,-0.24587699877925207,0.266612667675583,0.6495554219894097,0.49850299401197606,56.847754491017966,2672,,,,,,,,False
12,br=False k=5 wr=0.5 L=120,30,250,120,0.2,0.0,0.5,5,-0.7,0.7,0.4,rsrs_skew,200,[],5,0.1,0.08825223735398358,0.13926484067576958,0.6337007741921642,1.1275346365860972,-0.28079769423942913,0.3142911753354111,0.8501130916550467,0.5033682634730539,56.72986526946108,2672,,,,,,,,False
12,br=False k=5 wr=0.5 L=180,30,250,180,0.2,0.0,0.5,5,-0.7,0.7,0.4,rsrs_skew,200,[],5,0.1,0.08438106390972844,0.13563216264642483,0.6221316704187542,1.1313831251011814,-0.287138169195702,0.2938691994383291,0.801068948766531,0.5022455089820359,56.81474550898204,2672,,,,,,,,False
12,br=False k=5 wr=0.5 L=252,30,250,252,0.2,0.0,0.5,5,-0.7,0.7,0.4,rsrs_skew,200,[],5,0.1,0.06547086143310721,0.13030133204975422,0.5024573456248923,1.0349326223825044,-0.25006504707954413,0.26181532444348904,0.653219242727277,0.499625748502994,57.97949101796407,2672,,,,,,,,False
12,br=False k=7 wr=0.2 L=120,30,250,120,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,200,[],5,0.1,0.08276133790999829,0.12987126731209042,0.6372567206194775,1.1241302384446625,-0.2895054724689735,0.28587141101060837,0.8106859371592512,0.5093562874251497,53.12829341317365,2672,,,,,,,,False
12,br=False k=7 wr=0.2 L=180,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,200,[],5,0.1,0.0730432507038492,0.1278235307401649,0.5714382186197697,1.0676903993033298,-0.27924945712104154,0.2615698933022039,0.7094190581735268,0.5056137724550899,53.417290419161674,2672,,,,,,,,False
