trade_week,BASE_A_cash,B_A_red,C_ens_cash,BC_ens_red
2024-05-24,2.254851431581927,2.5902337738195165,2.208496215492843,2.5287508723347885
2024-05-31,2.254851431581927,2.6059047196971137,2.208496215492843,2.544049845909614
2024-06-07,2.254851431581927,2.594910220446948,2.208496215492843,2.5333163168163138
2024-06-14,2.254851431581927,2.5635475522628814,2.208496215492843,2.502698086396031
2024-06-21,2.254851431581927,2.5257694591801623,2.208496215492843,2.4658167103582214
2024-06-28,2.254851431581927,2.516451337841791,2.208496215492843,2.4567197679505166
2024-07-05,2.254851431581927,2.5227051982624156,2.208496215492843,2.462825184053865
2024-07-12,2.254851431581927,2.4973907909155026,2.208496215492843,2.4381116503534876
2024-07-19,2.254851431581927,2.4861615907951307,2.208496215492843,2.4271489913506517
2024-07-26,2.254851431581927,2.42624275219378,2.208496215492843,2.368652412040351
2024-08-02,2.254851431581927,2.4422012409960696,2.208496215492843,2.384232103297495
2024-08-09,2.254851431581927,2.4103468353650905,2.208496215492843,2.3531338075215644
2024-08-16,2.254851431581927,2.4404971084968294,2.208496215492843,2.3825684208192635
2024-08-23,2.254851431581927,2.4103468353650914,2.208496215492843,2.3531338075215653
2024-08-30,2.254851431581927,2.3751715167113963,2.208496215492843,2.3187934253409166
2024-09-06,2.254851431581927,2.341671213231687,2.208496215492843,2.286088299454585
2024-09-13,2.254851431581927,2.2579204545324143,2.208496215492843,2.2043254847387566
2024-09-20,2.254851431581927,2.2871770207137123,2.208496215492843,2.23288760449808
2024-09-27,2.254851431581927,2.5446962111940703,2.208496215492843,2.4842942088563817
2024-09-30,2.4795399345343063,2.729896446524473,2.428730018680595,2.6652340200150153
2024-10-11,2.3645505949869947,2.6529159870402,2.2813326331440287,2.5669499909826157
2024-10-18,2.564164845487311,2.7904685414408634,2.4358039117004466,2.677770662117768
2024-10-25,2.5527204097646052,2.7816423885232506,2.441220020501352,2.6820479841527054
2024-11-01,2.510105030635298,2.747620246992684,2.3940523316778957,2.644319400769114
2024-11-08,2.694039092051453,2.8962478993986998,2.559099877819161,2.7783164151334447
2024-11-15,2.6304409199864964,2.8417374649144054,2.4731230906708848,2.704541609323677
2024-11-22,2.5891046014982337,2.805681812909583,2.4335141536347975,2.6695432437534357
2024-11-29,2.620665706492284,2.83347248420977,2.4631193972652654,2.695942537846676
2024-12-06,2.6611418661893387,2.869044486516022,2.503908923300863,2.7322681220977754
2024-12-13,2.6607181872901338,2.8686731303749124,2.4991265941285885,2.7280107130101383
2024-12-20,2.611087724652049,2.8249287084240633,2.4522422596676328,2.686108927800073
2024-12-27,2.6056312837355877,2.820049608283765,2.453337415073769,2.687105040962102
2025-01-03,2.48005576462363,2.707528948020751,2.3591547465105482,2.601692252372829
