mom_w,turn_w,lambda,mu,top_n,gate,vol_target,rebalance_w,is_sharpe,is_calmar,is_ann_ret,is_max_dd,is_worst_year,ann_tov
4,4,0.5,0.0,3,br40,none,2,0.9057794630494591,0.7521265025262941,0.17711167738632527,-0.2354812345947529,-0.6806563187464406,9.402298850574711
4,4,0.5,0.0,3,br40,none,4,0.7688452246202285,0.5208685350361102,0.15569312512163447,-0.29891059768246653,-1.2075804673122064,6.7126436781609184
4,4,0.5,0.0,3,br40,0.15,1,1.008098836940008,0.8889152192727803,0.14259238195432689,-0.1604116780349215,-0.996543690141891,9.74560700663188
4,4,0.5,0.0,3,br40,0.15,2,1.0079452027990046,0.7903619010883447,0.14910357866018642,-0.18865228505431209,-0.7935256310015941,6.712374736518473
4,4,0.5,0.0,3,br40,0.15,4,0.9050667067515004,0.7682513587973148,0.13085499188666105,-0.17032835723390383,-1.3171752477780903,4.81777348538131
4,4,0.5,0.0,3,br40,0.2,1,0.9240289741171607,0.8354044003720343,0.15417836776888638,-0.1845553694716301,-1.0073071240147915,11.593770402927264
4,4,0.5,0.0,3,br40,0.2,2,0.9368914563490053,0.7332121629569369,0.1622983105195157,-0.22135245256296687,-0.7357585511481619,7.881854239890742
4,4,0.5,0.0,3,br40,0.2,4,0.8351716419055056,0.650599294601296,0.14483467577395737,-0.22261732678747492,-1.2839055936347936,5.6606510821282034
4,4,0.5,0.0,3,mkt_ma20,none,1,0.7371737286886428,0.5574408681303683,0.13648975326770652,-0.2448506398992364,-0.946645693588895,13.540229885057471
4,4,0.5,0.0,3,mkt_ma20,none,2,0.6648791950507594,0.45632857040822083,0.12828153919348906,-0.2811166065686648,-1.2953600424558078,8.988505747126435
4,4,0.5,0.0,3,mkt_ma20,none,4,0.7324793920156127,0.5053259801737079,0.14542004990100343,-0.2877747347385834,-1.901916167606762,6.390804597701149
4,4,0.5,0.0,3,mkt_ma20,0.15,1,0.8508070772234779,0.6108935635923175,0.12105767834828751,-0.1981649268596254,-1.0412260500880641,9.545451374955292
4,4,0.5,0.0,3,mkt_ma20,0.15,2,0.7249628470232435,0.4513883960517171,0.1063652005414375,-0.23564008616927512,-1.2953600424558078,6.5327391982136245
4,4,0.5,0.0,3,mkt_ma20,0.15,4,0.8438555233841322,0.5871820874623581,0.12248178916935393,-0.20859251633285858,-1.901916167606762,4.6883900918969275
4,4,0.5,0.0,3,mkt_ma20,0.2,1,0.7948257978159813,0.5948187748325552,0.1327520131358657,-0.22318060349261193,-0.998285076433971,11.281579064148461
4,4,0.5,0.0,3,mkt_ma20,0.2,2,0.6873718357335752,0.4424974205416874,0.11853222242400507,-0.2678709907029576,-1.2953600424558078,7.629018860776601
