rebal_date,phase,top_n
2021-05-18,5,159980.SZ;510880.SS;510500.SS
2021-06-17,5,515220.SS;512760.SS;510880.SS
2021-07-16,5,510880.SS;510500.SS;515220.SS
2021-08-16,5,515220.SS;510880.SS;515210.SS
2021-09-14,5,515220.SS;510500.SS;510880.SS
2021-10-22,5,159980.SZ;159949.SZ;512660.SS
2021-11-22,5,512660.SS;159949.SZ;159915.SZ
2021-12-21,5,512660.SS;515880.SS;159949.SZ
2022-01-20,5,159980.SZ;510500.SS;512980.SS
2022-02-25,5,159980.SZ;515220.SS;518880.SS
2022-03-28,5,515220.SS;159980.SZ;510880.SS
2022-04-28,5,159980.SZ;515220.SS;518880.SS
2022-06-01,5,515220.SS;510880.SS;512660.SS
2022-07-01,5,510180.SS;515220.SS;510500.SS
2022-08-01,5,512660.SS;515220.SS;510500.SS
2022-08-30,5,515220.SS;510880.SS;515880.SS
2022-09-29,5,515220.SS;510880.SS;518880.SS
2022-11-04,5,512660.SS;518880.SS;159980.SZ
2022-12-05,5,159980.SZ;518880.SS;510880.SS
2023-01-04,5,518880.SS;159980.SZ;512980.SS
2023-02-09,5,512980.SS;515880.SS;512690.SS
2023-03-10,5,515880.SS;518880.SS;512980.SS
2023-04-11,5,512980.SS;518880.SS;510880.SS
2023-05-15,5,518880.SS;510880.SS;512980.SS
2023-06-13,5,515880.SS;518880.SS;512980.SS
2023-07-14,5,518880.SS;515880.SS;159980.SZ
2023-08-14,5,518880.SS;512880.SS;510880.SS
2023-09-12,5,518880.SS;159980.SZ;510880.SS
2023-10-19,5,518880.SS;515220.SS;510880.SS
2023-11-17,5,518880.SS;515220.SS;512290.SS
2023-12-18,5,515220.SS;518880.SS;512980.SS
2024-01-17,5,518880.SS;515220.SS;510880.SS
2024-02-23,5,510880.SS;515220.SS;518880.SS
2024-03-25,5,518880.SS;515880.SS;512980.SS
2024-04-25,5,159980.SZ;510880.SS;518880.SS
2024-05-29,5,159980.SZ;510880.SS;518880.SS
2024-06-28,5,510880.SS;515880.SS;518880.SS
2024-07-29,5,518880.SS;512660.SS;515880.SS
2024-08-27,5,518880.SS;159980.SZ;510050.SS
2024-09-27,5,510180.SS;510050.SS;512880.SS
2024-11-04,5,512880.SS;512660.SS;515880.SS
2024-12-03,5,512980.SS;515210.SS;510500.SS
2025-01-02,5,518880.SS;510880.SS;512480.SS
2025-02-10,5,518880.SS;512480.SS;512980.SS
2025-03-11,5,515210.SS;518880.SS;512480.SS
2025-04-10,5,518880.SS;512760.SS;510880.SS
2025-05-14,5,510050.SS;510880.SS;510180.SS
